owner,artist,plays,minutes,first_played,last_played,rank_in_owner,shared_by_both
Or,Imagine Dragons,13107,23151.9,2018-09-16,2026-05-22,1,True
Or,Idan Raichel,5512,9388.0,2018-09-20,2026-05-22,2,True
Or,Taylor Swift,5482,12681.5,2018-09-16,2026-05-22,3,True
Or,התקווה 6,2909,5328.5,2018-09-24,2026-05-22,4,False
Or,Harel Skaat,2586,3266.9,2018-09-18,2026-05-22,5,True
Or,עידן רפאל חביב,2531,3670.4,2018-11-05,2026-05-20,6,False
Or,Tones And I,2362,4723.7,2019-09-03,2026-05-22,7,True
Or,Sam Smith,2171,3154.4,2018-09-18,2026-05-19,8,True
Or,OneRepublic,1823,3041.8,2018-09-17,2026-05-22,9,True
Or,Ed Sheeran,1774,3236.3,2018-09-16,2026-05-22,10,True
Or,חנן בן ארי,1766,3214.3,2018-11-02,2026-05-22,11,False
Or,Queen,1629,3451.8,2018-11-24,2026-05-22,12,True
Or,Justin Timberlake,1347,3800.0,2019-10-12,2026-05-22,13,True
Or,Sia,1319,2346.5,2018-09-16,2026-05-22,14,True
Or,ישי ריבו,1254,2305.6,2018-09-18,2026-05-20,15,False
Or,Nathan Goshen,1156,2049.0,2018-09-20,2026-05-14,16,True
Or,twenty one pilots,1117,1950.7,2018-09-27,2026-05-19,17,False
Or,Maroon 5,1068,1417.2,2018-09-17,2026-05-22,18,True
Or,Full Trunk,1022,1943.2,2019-10-24,2026-05-20,19,True
Or,"Bruno Mars, Anderson .Paak & Silk Sonic",1005,2137.4,2021-05-30,2026-05-22,20,False
Or,Coldplay,992,1713.9,2018-09-18,2026-05-19,21,True
Or,עידן עמדי,868,1195.6,2018-10-12,2026-05-22,22,False
Or,LSD,831,1371.7,2018-09-16,2026-05-19,23,False
Or,עדן חסון,693,943.7,2018-09-16,2026-05-15,24,False
Or,רן דנקר,676,1021.0,2018-11-18,2026-05-22,25,False
Or,Bruno Mars,543,871.9,2018-09-20,2026-05-20,26,True
Or,Beyoncé,529,1062.6,2018-09-27,2026-05-19,27,True
Or,נועה קירל,515,880.8,2019-02-10,2026-05-22,28,False
Or,Harry Styles,495,753.3,2019-11-22,2026-05-22,29,True
Or,Deva Mahal,453,705.9,2019-01-02,2026-05-22,30,False
Or,יובל דיין,437,669.7,2018-10-12,2026-05-20,31,False
Or,מארינה מקסימיליאן,434,807.0,2018-10-04,2026-05-19,32,False
Or,"משתתפי פסטיגל Freestyle, משה פרץ, נועה קירל & Eliana Tidhar",423,676.5,2018-09-28,2026-05-15,33,False
Or,Troy & Gabriella,395,887.8,2018-10-12,2026-05-19,34,False
Or,Dennis Lloyd,388,506.2,2018-09-28,2024-06-26,35,False
Or,Adele,355,782.6,2018-11-11,2026-05-19,36,False
Or,עילי בוטנר & אברהם אביב אלוש,340,711.9,2018-09-19,2023-11-06,37,False
Or,Lewis Capaldi,328,523.6,2019-08-18,2026-05-15,38,True
Or,שוטי הנבואה,323,490.6,2018-10-21,2026-05-14,39,False
Or,עומר אדם,316,287.3,2018-09-23,2026-04-07,40,False
Or,בניה ברבי,313,373.1,2018-09-28,2023-04-13,41,False
Or,רד בנד & אהוד בנאי,308,548.4,2018-11-04,2025-06-18,42,False
Or,אביתר בנאי,300,247.0,2018-09-17,2020-11-07,43,False
Or,Raviv Kaner,298,534.3,2020-08-07,2026-05-15,44,False
