owner,ym,genre,plays,minutes
Or,2018-09,Other,255,236.2
Or,2018-09,Pop,201,192.5
Or,2018-09,Pop Rock,130,98.4
Or,2018-09,World/Israeli,48,39.6
Or,2018-09,Hip-Hop,22,36.2
Or,2018-09,Israeli Pop,22,60.7
Or,2018-09,Electronic/Dance,14,22.4
Or,2018-09,Mizrahi,13,18.1
Or,2018-09,Singer-Songwriter,7,0.8
Or,2018-09,Alternative Rock,3,3.4
Or,2018-09,Israeli Rock,3,0.0
Or,2018-09,R&B/Soul,3,3.4
Or,2018-09,Soundtrack,2,0.1
Or,2018-10,Other,521,568.2
Or,2018-10,Pop,364,331.3
Or,2018-10,Pop Rock,249,258.7
Or,2018-10,World/Israeli,108,129.4
Or,2018-10,Israeli Pop,68,111.3
Or,2018-10,Israeli Rock,34,22.8
Or,2018-10,Alternative Rock,24,31.3
Or,2018-10,Mizrahi,24,26.9
Or,2018-10,Electronic/Dance,23,33.0
Or,2018-10,Soundtrack,17,22.0
Or,2018-10,Hip-Hop,16,10.5
Or,2018-10,Singer-Songwriter,11,13.9
Or,2018-10,R&B/Soul,3,7.9
Or,2018-11,Other,831,1017.5
Or,2018-11,Pop Rock,503,671.3
Or,2018-11,Pop,414,420.1
Or,2018-11,Israeli Pop,150,253.4
Or,2018-11,World/Israeli,100,92.2
Or,2018-11,Mizrahi,46,40.8
Or,2018-11,Alternative Rock,40,20.6
Or,2018-11,Electronic/Dance,36,71.2
Or,2018-11,Hip-Hop,27,29.6
Or,2018-11,Rock,26,35.3
Or,2018-11,R&B/Soul,24,42.5
Or,2018-11,Israeli Rock,19,37.5
Or,2018-11,Singer-Songwriter,12,20.6
Or,2018-11,Soundtrack,7,3.4
Or,2018-11,Latin,5,3.3
Or,2018-12,Other,442,603.5
Or,2018-12,Pop Rock,197,288.1
Or,2018-12,Pop,173,187.2
Or,2018-12,Israeli Pop,80,154.7
Or,2018-12,World/Israeli,49,86.2
Or,2018-12,Mizrahi,41,58.6
Or,2018-12,Rock,40,76.5
Or,2018-12,Alternative Rock,35,46.4
Or,2018-12,Electronic/Dance,29,66.9
Or,2018-12,Hip-Hop,12,18.3
Or,2018-12,R&B/Soul,12,28.4
Or,2018-12,Israeli Rock,9,12.4
Or,2018-12,Singer-Songwriter,9,10.6
Or,2018-12,Soundtrack,9,11.6
Or,2019-01,Other,795,793.9
Or,2019-01,Israeli Pop,238,355.0
Or,2019-01,Pop Rock,237,259.8
Or,2019-01,Pop,175,179.3
Or,2019-01,World/Israeli,75,107.1
Or,2019-01,R&B/Soul,73,86.3
Or,2019-01,Mizrahi,50,70.1
Or,2019-01,Electronic/Dance,28,49.3
Or,2019-01,Alternative Rock,20,17.8
Or,2019-01,Israeli Rock,19,21.5
Or,2019-01,Hip-Hop,17,20.1
Or,2019-01,Singer-Songwriter,11,4.0
Or,2019-01,Rock,10,10.9
Or,2019-01,Soundtrack,5,1.0
Or,2019-01,Latin,4,0.8
Or,2019-02,Other,918,970.1
Or,2019-02,Israeli Pop,230,309.9
Or,2019-02,Pop Rock,207,249.4
Or,2019-02,Pop,158,207.2
Or,2019-02,World/Israeli,150,218.3
Or,2019-02,Mizrahi,93,93.0
Or,2019-02,Electronic/Dance,22,44.7
Or,2019-02,Alternative Rock,21,29.6
Or,2019-02,R&B/Soul,17,36.3
Or,2019-02,Rock,14,41.1
Or,2019-02,Hip-Hop,11,10.1
Or,2019-02,Soundtrack,11,1.6
Or,2019-02,Singer-Songwriter,9,11.1
Or,2019-02,Latin,3,1.7
Or,2019-02,Israeli Rock,2,5.2
Or,2019-03,Other,875,1023.3
Or,2019-03,Israeli Pop,382,608.3
Or,2019-03,Pop Rock,236,281.4
Or,2019-03,World/Israeli,204,182.4
Or,2019-03,Pop,116,93.5
Or,2019-03,Mizrahi,72,60.4
Or,2019-03,R&B/Soul,29,62.5
Or,2019-03,Electronic/Dance,26,59.5
Or,2019-03,Rock,24,25.4
Or,2019-03,Hip-Hop,17,34.6
Or,2019-03,Soundtrack,13,13.8
Or,2019-03,Singer-Songwriter,10,7.7
Or,2019-03,Alternative Rock,9,9.2
Or,2019-03,Israeli Rock,3,5.1
Or,2019-04,Other,704,926.4
Or,2019-04,Israeli Pop,347,648.1
Or,2019-04,World/Israeli,199,192.8
Or,2019-04,Pop Rock,198,282.7
Or,2019-04,Pop,130,165.8
Or,2019-04,Mizrahi,67,85.5
Or,2019-04,R&B/Soul,29,63.0
Or,2019-04,Electronic/Dance,25,61.0
Or,2019-04,Hip-Hop,21,30.0
Or,2019-04,Alternative Rock,16,28.2
Or,2019-04,Rock,15,36.6
Or,2019-04,Soundtrack,15,8.5
Or,2019-04,Singer-Songwriter,13,10.4
Or,2019-04,Israeli Rock,12,18.8
Or,2019-05,Other,742,931.3
Or,2019-05,Israeli Pop,290,526.7
Or,2019-05,Pop Rock,212,290.8
Or,2019-05,World/Israeli,181,184.4
Or,2019-05,Pop,111,135.3
Or,2019-05,Mizrahi,64,77.6
Or,2019-05,Electronic/Dance,29,57.5
Or,2019-05,R&B/Soul,27,54.2
Or,2019-05,Alternative Rock,19,30.6
Or,2019-05,Rock,16,21.4
