owner,weekday,hour_local,plays,pct_of_owner
Or,Friday,0,148,0.15
Or,Friday,1,38,0.04
Or,Friday,2,25,0.03
Or,Friday,3,64,0.07
Or,Friday,4,32,0.03
Or,Friday,5,10,0.01
Or,Friday,6,205,0.21
Or,Friday,7,569,0.59
Or,Friday,8,1247,1.29
Or,Friday,9,1581,1.63
Or,Friday,10,2003,2.07
Or,Friday,11,1550,1.6
Or,Friday,12,2347,2.42
Or,Friday,13,1582,1.63
Or,Friday,14,1217,1.26
Or,Friday,15,1094,1.13
Or,Friday,16,1171,1.21
Or,Friday,17,1470,1.52
Or,Friday,18,965,1.0
Or,Friday,19,277,0.29
Or,Friday,20,970,1.0
Or,Friday,21,1425,1.47
Or,Friday,22,524,0.54
Or,Friday,23,252,0.26
Or,Monday,0,144,0.15
Or,Monday,1,79,0.08
Or,Monday,5,38,0.04
Or,Monday,6,263,0.27
Or,Monday,7,807,0.83
Or,Monday,8,977,1.01
Or,Monday,9,970,1.0
Or,Monday,10,978,1.01
Or,Monday,11,734,0.76
Or,Monday,12,705,0.73
Or,Monday,13,657,0.68
Or,Monday,14,691,0.71
Or,Monday,15,643,0.66
Or,Monday,16,769,0.79
Or,Monday,17,665,0.69
Or,Monday,18,738,0.76
Or,Monday,19,819,0.85
Or,Monday,20,1010,1.04
Or,Monday,21,481,0.5
Or,Monday,22,137,0.14
Or,Monday,23,125,0.13
Or,Saturday,0,165,0.17
Or,Saturday,1,5,0.01
Or,Saturday,2,15,0.02
Or,Saturday,3,48,0.05
Or,Saturday,4,4,0.0
Or,Saturday,5,18,0.02
Or,Saturday,6,33,0.03
Or,Saturday,7,69,0.07
Or,Saturday,8,172,0.18
Or,Saturday,9,271,0.28
Or,Saturday,10,385,0.4
Or,Saturday,11,631,0.65
Or,Saturday,12,631,0.65
Or,Saturday,13,764,0.79
Or,Saturday,14,637,0.66
Or,Saturday,15,812,0.84
Or,Saturday,16,804,0.83
Or,Saturday,17,829,0.86
Or,Saturday,18,913,0.94
Or,Saturday,19,999,1.03
Or,Saturday,20,825,0.85
Or,Saturday,21,642,0.66
Or,Saturday,22,562,0.58
Or,Saturday,23,253,0.26
Or,Sunday,0,128,0.13
Or,Sunday,1,12,0.01
Or,Sunday,2,74,0.08
Or,Sunday,3,39,0.04
Or,Sunday,4,1,0.0
Or,Sunday,5,35,0.04
Or,Sunday,6,508,0.52
Or,Sunday,7,758,0.78
Or,Sunday,8,1125,1.16
Or,Sunday,9,1360,1.4
Or,Sunday,10,1293,1.33
Or,Sunday,11,1025,1.06
Or,Sunday,12,928,0.96
Or,Sunday,13,1104,1.14
Or,Sunday,14,905,0.93
Or,Sunday,15,469,0.48
