owner,year,weekday,hour_local,plays,pct_of_owner_year
Or,2018,Friday,3,29,0.52
Or,2018,Friday,7,4,0.07
Or,2018,Friday,8,74,1.33
Or,2018,Friday,9,162,2.91
Or,2018,Friday,10,20,0.36
Or,2018,Friday,11,110,1.98
Or,2018,Friday,12,86,1.55
Or,2018,Friday,13,85,1.53
Or,2018,Friday,14,69,1.24
Or,2018,Friday,15,28,0.5
Or,2018,Friday,16,54,0.97
Or,2018,Friday,17,92,1.65
Or,2018,Friday,18,98,1.76
Or,2018,Friday,19,1,0.02
Or,2018,Friday,20,45,0.81
Or,2018,Friday,21,98,1.76
Or,2018,Friday,22,14,0.25
Or,2018,Friday,23,11,0.2
Or,2018,Monday,6,4,0.07
Or,2018,Monday,7,17,0.31
Or,2018,Monday,8,16,0.29
Or,2018,Monday,9,9,0.16
Or,2018,Monday,10,53,0.95
Or,2018,Monday,11,47,0.85
Or,2018,Monday,12,39,0.7
Or,2018,Monday,13,35,0.63
Or,2018,Monday,14,32,0.58
Or,2018,Monday,15,45,0.81
Or,2018,Monday,16,34,0.61
Or,2018,Monday,17,53,0.95
Or,2018,Monday,18,2,0.04
Or,2018,Monday,19,48,0.86
Or,2018,Monday,20,74,1.33
Or,2018,Monday,21,15,0.27
Or,2018,Monday,23,57,1.02
Or,2018,Saturday,0,2,0.04
Or,2018,Saturday,2,15,0.27
Or,2018,Saturday,3,48,0.86
Or,2018,Saturday,6,1,0.02
Or,2018,Saturday,8,4,0.07
Or,2018,Saturday,12,9,0.16
Or,2018,Saturday,14,16,0.29
Or,2018,Saturday,15,2,0.04
Or,2018,Saturday,16,75,1.35
Or,2018,Saturday,17,31,0.56
Or,2018,Saturday,18,16,0.29
Or,2018,Saturday,19,37,0.67
Or,2018,Saturday,20,59,1.06
Or,2018,Saturday,21,19,0.34
Or,2018,Saturday,22,14,0.25
Or,2018,Saturday,23,170,3.06
Or,2018,Sunday,0,98,1.76
Or,2018,Sunday,1,11,0.2
Or,2018,Sunday,4,1,0.02
Or,2018,Sunday,7,31,0.56
Or,2018,Sunday,8,85,1.53
Or,2018,Sunday,9,113,2.03
Or,2018,Sunday,10,153,2.75
Or,2018,Sunday,11,64,1.15
Or,2018,Sunday,12,105,1.89
Or,2018,Sunday,13,11,0.2
Or,2018,Sunday,14,8,0.14
Or,2018,Sunday,15,17,0.31
Or,2018,Sunday,16,8,0.14
Or,2018,Sunday,17,51,0.92
Or,2018,Sunday,18,94,1.69
Or,2018,Sunday,19,11,0.2
Or,2018,Sunday,20,44,0.79
Or,2018,Sunday,21,56,1.01
Or,2018,Thursday,0,2,0.04
Or,2018,Thursday,1,24,0.43
Or,2018,Thursday,6,27,0.49
Or,2018,Thursday,7,35,0.63
Or,2018,Thursday,8,83,1.49
Or,2018,Thursday,9,66,1.19
Or,2018,Thursday,10,78,1.4
Or,2018,Thursday,11,75,1.35
Or,2018,Thursday,12,30,0.54
Or,2018,Thursday,13,26,0.47
Or,2018,Thursday,14,57,1.02
Or,2018,Thursday,15,61,1.1
Or,2018,Thursday,16,76,1.37
Or,2018,Thursday,17,131,2.36
Or,2018,Thursday,18,110,1.98
Or,2018,Thursday,19,61,1.1
Or,2018,Thursday,20,134,2.41
Or,2018,Thursday,21,77,1.38
Or,2018,Thursday,22,4,0.07
Or,2018,Thursday,23,3,0.05
Or,2018,Tuesday,6,52,0.93
Or,2018,Tuesday,7,22,0.4
Or,2018,Tuesday,9,9,0.16
Or,2018,Tuesday,10,12,0.22
Or,2018,Tuesday,11,35,0.63
Or,2018,Tuesday,12,76,1.37
Or,2018,Tuesday,13,48,0.86
Or,2018,Tuesday,14,103,1.85
Or,2018,Tuesday,15,115,2.07
Or,2018,Tuesday,16,95,1.71
Or,2018,Tuesday,17,15,0.27
Or,2018,Tuesday,18,47,0.85
Or,2018,Tuesday,19,80,1.44
Or,2018,Tuesday,20,28,0.5
Or,2018,Tuesday,21,72,1.29
Or,2018,Tuesday,22,18,0.32
Or,2018,Wednesday,6,4,0.07
Or,2018,Wednesday,7,20,0.36
Or,2018,Wednesday,8,24,0.43
Or,2018,Wednesday,9,43,0.77
Or,2018,Wednesday,10,48,0.86
Or,2018,Wednesday,15,4,0.07
Or,2018,Wednesday,16,49,0.88
Or,2018,Wednesday,17,41,0.74
Or,2018,Wednesday,18,92,1.65
Or,2018,Wednesday,19,43,0.77
Or,2018,Wednesday,20,57,1.02
Or,2018,Wednesday,21,11,0.2
Or,2019,Friday,0,69,0.37
Or,2019,Friday,1,38,0.2
Or,2019,Friday,2,11,0.06
Or,2019,Friday,3,6,0.03
Or,2019,Friday,7,35,0.19
Or,2019,Friday,8,242,1.29
Or,2019,Friday,9,212,1.13
Or,2019,Friday,10,707,3.78
Or,2019,Friday,11,304,1.62
Or,2019,Friday,12,680,3.63
Or,2019,Friday,13,338,1.81
Or,2019,Friday,14,204,1.09
Or,2019,Friday,15,311,1.66
Or,2019,Friday,16,250,1.34
Or,2019,Friday,17,370,1.98
Or,2019,Friday,18,248,1.32
Or,2019,Friday,19,49,0.26
Or,2019,Friday,20,383,2.05
Or,2019,Friday,21,393,2.1
Or,2019,Friday,22,120,0.64
Or,2019,Friday,23,51,0.27
Or,2019,Monday,0,21,0.11
Or,2019,Monday,5,1,0.01
Or,2019,Monday,6,27,0.14
Or,2019,Monday,7,26,0.14
Or,2019,Monday,8,106,0.57
Or,2019,Monday,9,43,0.23
Or,2019,Monday,10,37,0.2
Or,2019,Monday,11,33,0.18
Or,2019,Monday,12,32,0.17
Or,2019,Monday,13,28,0.15
Or,2019,Monday,14,60,0.32
Or,2019,Monday,15,130,0.69
