owner,hour_local,events,pct_of_owner
Or,0.0,694,0.72
Or,1.0,278,0.29
Or,2.0,169,0.17
Or,3.0,156,0.16
Or,4.0,44,0.05
Or,5.0,339,0.35
Or,6.0,1863,1.92
Or,7.0,4759,4.91
Or,8.0,6881,7.1
Or,9.0,7407,7.64
Or,10.0,7382,7.62
Or,11.0,6296,6.5
Or,12.0,7054,7.28
Or,13.0,6445,6.65
Or,14.0,5764,5.95
Or,15.0,4895,5.05
Or,16.0,5346,5.52
Or,17.0,5801,5.99
Or,18.0,5594,5.77
Or,19.0,5594,5.77
Or,20.0,5894,6.08
Or,21.0,4627,4.78
Or,22.0,2335,2.41
Or,23.0,1276,1.32
Roman,0.0,2325,2.8
Roman,1.0,430,0.52
Roman,2.0,69,0.08
Roman,3.0,20,0.02
Roman,4.0,17,0.02
Roman,5.0,21,0.03
Roman,6.0,108,0.13
Roman,7.0,564,0.68
Roman,8.0,1727,2.08
Roman,9.0,2341,2.82
Roman,10.0,3214,3.87
Roman,11.0,4174,5.03
Roman,12.0,3788,4.56
Roman,13.0,4693,5.65
Roman,14.0,5600,6.75
Roman,15.0,6616,7.97
Roman,16.0,8310,10.01
Roman,17.0,5482,6.6
Roman,18.0,5527,6.66
Roman,19.0,5220,6.29
Roman,20.0,5027,6.06
Roman,21.0,5879,7.08
Roman,22.0,6381,7.69
Roman,23.0,5470,6.59
