owner,ym,plays,minutes
Or,2018-09,723,711.8
Or,2018-10,1462,1567.3
Or,2018-11,2240,2759.3
Or,2018-12,1137,1649.3
Or,2019-01,1757,1976.8
Or,2019-02,1866,2229.3
Or,2019-03,2016,2467.2
Or,2019-04,1791,2557.9
Or,2019-05,1718,2349.5
Or,2019-06,1562,2535.1
Or,2019-07,1204,1563.8
Or,2019-08,1614,1969.6
Or,2019-09,1640,2230.8
Or,2019-10,1420,2477.6
Or,2019-11,1235,1949.4
Or,2019-12,895,1494.0
Or,2020-01,1703,2546.7
Or,2020-02,1829,2261.8
Or,2020-03,1252,1663.1
Or,2020-04,655,850.4
Or,2020-05,1041,1482.4
Or,2020-06,1303,1618.9
Or,2020-07,1281,1645.3
Or,2020-08,1208,1756.1
Or,2020-09,531,979.4
Or,2020-10,588,1030.4
Or,2020-11,516,855.0
Or,2020-12,507,977.3
Or,2021-01,248,595.9
Or,2021-02,580,1076.7
Or,2021-03,779,1503.5
Or,2021-04,1137,1725.0
Or,2021-05,683,1122.2
Or,2021-06,806,1006.9
Or,2021-07,1143,1599.5
Or,2021-08,961,1464.6
Or,2021-09,1406,2174.1
Or,2021-10,1186,2208.7
Or,2021-11,1559,2839.2
Or,2021-12,1490,2710.0
Or,2022-01,1107,2176.4
Or,2022-02,1354,2428.9
Or,2022-03,341,800.0
Or,2022-04,969,2042.3
Or,2022-05,1601,3462.0
Or,2022-06,1403,2999.8
Or,2022-07,1166,3045.8
Or,2022-08,893,1508.8
Or,2022-09,887,1622.3
Or,2022-10,1019,1655.2
Or,2022-11,795,1604.1
Or,2022-12,1097,2127.4
Or,2023-01,1729,3180.7
Or,2023-02,1194,2637.3
Or,2023-03,948,2026.8
Or,2023-04,1250,2239.2
Or,2023-05,1176,2454.7
Or,2023-06,894,1816.9
Or,2023-07,719,1561.0
Or,2023-08,1115,2261.0
Or,2023-09,998,2104.6
Or,2023-10,667,1464.1
Or,2023-11,1140,2535.3
Or,2023-12,1203,2356.2
Or,2024-01,994,2247.4
Or,2024-02,689,1297.8
Or,2024-03,916,1353.6
Or,2024-04,896,1383.1
Or,2024-05,1418,2504.2
Or,2024-06,1406,2983.2
Or,2024-07,874,1865.6
Or,2024-08,760,1539.8
Or,2024-09,635,1384.1
Or,2024-10,425,884.4
Or,2024-11,971,2089.6
Or,2024-12,880,2144.0
Or,2025-01,980,2446.0
Or,2025-02,330,782.5
Or,2025-03,453,927.2
Or,2025-04,571,1294.4
Or,2025-05,757,1699.0
Or,2025-06,516,1133.3
Or,2025-07,869,1981.1
Or,2025-08,419,936.3
Or,2025-09,779,1630.6
Or,2025-10,563,1158.7
Or,2025-11,819,1626.5
Or,2025-12,661,1364.5
Or,2026-01,656,1156.1
Or,2026-02,791,1483.8
Or,2026-03,257,529.7
Or,2026-04,1064,1747.6
Or,2026-05,1207,2065.8
Roman,2019-09,884,694.1
Roman,2019-10,432,437.6
Roman,2019-11,148,132.7
Roman,2020-04,2,0.7
Roman,2020-05,234,383.7
Roman,2020-06,391,659.2
Roman,2020-07,492,814.6
Roman,2020-08,683,729.0
Roman,2020-09,454,604.8
Roman,2020-11,295,608.7
Roman,2020-12,293,747.3
Roman,2021-01,431,853.2
Roman,2021-02,393,649.1
Roman,2021-03,59,104.0
Roman,2021-04,438,1131.0
Roman,2021-05,967,1360.3
Roman,2021-06,1727,3347.6
Roman,2021-07,1666,2903.5
Roman,2021-08,566,1524.0
Roman,2021-09,2310,5886.9
Roman,2021-10,2270,5330.5
Roman,2021-11,1572,3582.8
Roman,2021-12,2891,4216.6
Roman,2022-01,452,623.7
Roman,2022-02,1743,1643.8
Roman,2022-03,2110,2131.4
Roman,2022-04,1848,1918.4
Roman,2022-05,666,966.6
Roman,2022-06,597,817.8
Roman,2022-07,494,896.1
Roman,2022-08,567,954.6
Roman,2022-09,639,1060.3
Roman,2022-10,590,1054.5
Roman,2022-11,1094,2179.7
Roman,2022-12,961,1698.9
Roman,2023-01,470,684.5
Roman,2023-02,256,487.6
Roman,2023-03,189,315.3
Roman,2023-04,669,1244.2
Roman,2023-05,1674,3049.7
Roman,2023-06,1519,3471.6
Roman,2023-07,394,1159.4
Roman,2023-08,1012,2649.1
Roman,2023-09,1244,2458.5
Roman,2023-10,1849,4452.7
Roman,2023-11,1344,4714.5
Roman,2023-12,1889,5933.8
Roman,2024-01,1248,4452.1
Roman,2024-02,1474,5237.8
Roman,2024-03,1058,3545.2
Roman,2024-04,1395,4348.8
Roman,2024-05,1752,6343.8
Roman,2024-06,1559,5642.5
Roman,2024-07,1473,5866.9
Roman,2024-08,1536,5467.8
Roman,2024-09,759,2272.4
Roman,2024-10,1131,3465.6
Roman,2024-11,1217,4034.9
Roman,2024-12,1377,4298.2
Roman,2025-01,1178,4164.2
Roman,2025-02,951,3246.2
Roman,2025-03,906,3075.2
Roman,2025-04,992,3209.9
Roman,2025-05,815,3360.8
Roman,2025-06,1117,4064.8
Roman,2025-07,1686,5509.7
Roman,2025-08,1480,4091.6
Roman,2025-09,1457,4331.8
Roman,2025-10,1640,4960.8
Roman,2025-11,1636,5081.8
Roman,2025-12,1666,4389.7
Roman,2026-01,2020,5309.1
Roman,2026-02,1984,5725.9
Roman,2026-03,1355,3873.0
Roman,2026-04,1683,5203.9
Roman,2026-05,590,1597.1
